CallNumber,Author,Title,ISBN,PubName,PubYear
E 160 Par,"Parkes, H. B.",The Amerian people : their ivilization and harater /,,Eyre,1949
E 160 Rap,"Rapport, S.",Ameria remembers : our best-loved ustoms and traditions /,,Hanover House,1956
E 160 Sav,"Savelle, M.",Seeds of liberty : the genesis of the Amerian mind /,,U of Washington P,1965
E 160 Sh,"Shlesinger, Arthur M. 1888-1965. (Arthur Meier),",The Amerian as reformer /,,Harvard UP,1950
E 160 Sel,"Seldes, G. V.",The stammering entury /,,Harper,1965
E 160 Tu,"Tukerman, H. T.","Ameria and her ommentators, with a ritial sketh of travel in the United States /",,Antiquarian P,1961
E 160 Tyl,"Tyler, A. F.",Freedom's ferment : phases of Amerian soial history from the olonial period to the outbreak of the ivil War /,9780061310744;0061310743,Harper,1962
E 160 We,"Weter, Dixon, 1906-1950.","The saga of Amerian soiety : a reord of soial aspiration, 1607-1937 /",,Sribner's,1937
E 160 Wel,"Wells, H. G. 1866-1946. (Herbert George),",The future in Ameria : a searh after realities /,,hapman,1906
E 161 All,"Allen, Walter Ernest, 1911-",The urgent west : an introdution to the idea of the United States /,,Baker,1969
E 161 Ame,,Ameria's taste 1851-1959 : the ultural events of a entury reported by ontemporary observers in the pages of the New York Times /,,Simon and Shuster,1959
E 161 Amo,"Amory, .",Who killed soiety /,,Harper,1960
E 161 Ari,"Arieli, Y.",Individualism and nationalism in Amerian ideology /,,Harvard UP,1964
E 161 Bar,"Baritz, Loren, 1928-",ity on a hill : a history of ideas and myths in Ameria /,,Wiley,1964
E 161 Bar,"Bartholomew, J. G. 1860-1920. (John George),",A literary and historial atlas of Ameria /,,Dent,1946
E 161 Bas,"Baskett, Sam S.",The Amerian identity : a ollege reader /,,Heath,1962
E 161 Be,"Beker, arl Lotus, 1873-1945.",Freedom and responsibility in the Amerian way of life /,,Random House,1955
E 161 Blu,"Blum, John Morton, 1921-",The promise of Ameria : an historial enquiry /,,Houghton Mifflin,1966
E 161 Bon,"Bonn, M. J.",The Amerian adventure : a study of bourgeois ivilisation /,,John Day,1934
E 161 Boo,"Boorstin, Daniel J. 1914-2004. (Daniel Joseph),",The genius of Amerian politis /,,U of hiago P,1958
E 161 Bro,"Brogan, D. W. 1900-1974. (Denis William),",Amerian themes /,,Hamilton,1948
E 161 Bro,"Brogan, D. W. 1900-1974. (Denis William),",The Amerian harater /,,Viking Books,1956
E 161 Bro,"Brogan, D. W. 1900-1974. (Denis William),",The Amerian problem /,,Hamilton,1944
E 161 Bur,"Burns, Edward MNall, 1897-1972",The Amerian Idea of Mission : onepts of National Purpose and Destiny /,,Rutgers UP,1957
E 161 au,"aughey, John Walton, 1902-1995",Their majesties the mob /,,U of hiago P,1960
E 161 ha,"hase, R. V.",The demorati vista : a dialogue on life and letters in ontemporary Ameria /,,Doubleday,1958
E 161 he,"hester, E. W.",Europe views Ameria : a ritial evaluation /,,Publi Affairs P,1962
E 161 oh,"ohen, Morris R. 1880-1947. (Morris Raphael),",Amerian thought : a ritial sketh /,,ollier Books,1962
E 161 om,"ommager, Henry Steele, 1902-",Living ideas in Ameria /,,Harper,1951
E 161 ul,"ullen, Jim, 1962-",The art of demoray : a onise history of popular ulture in the United States /,9780853459200;0853459207,Monthly Review P,1996
E 161 ur,"urti, Merle 1897-1996. (Merle Eugene),",The growth of Amerian thought /,9780878558797;0878558799,Transation Books,1982
E 161 Dul,"Dulles, Foster Rhea, 1900-1970.",A history of rereation : Ameria learns to play /,,Appleton-entury-rofts,1965
E 161 Dul,"Dulles, Foster Rhea, 1900-1970.","Ameria learns to play : a history of popular rereation, 1607-1940 /",,Peter Smith,1963
E 161 ELL,"Eller, Jak David, 1959- author.",Inventing Amerian tradition : from the Mayflower to ino de Mayo /,9781780239866;1780239866,Reaktion Books,2018
E 161 Eki,"Ekirh, Arthur Alphonse, 1915-2000.",The deline of Amerian liberalism /,,Longmans,1955
E 161 Fra,"Waldo, F.",Our Ameria /,,Boni and Liveright,1919
E 161 Gab,"Gabriel, Ralph Henry, 1890-1987.",The Pageant of Ameria : a Pitorial History of the United States /,,Yale UP,1925
E 161 Gab,"Gabriel, Ralph Henry, 1890-1987.",The Pageant of Ameria : a Pitorial History of the United States /,,Yale UP,1926
E 161 Gab,"Gabriel, Ralph Henry, 1890-1987.",The Pageant of Ameria : a Pitorial History of the United States /,,Yale UP,1927
E 161 Gab,"Gabriel, Ralph Henry, 1890-1987.",The Pageant of Ameria : a Pitorial History of the United States /,,Yale UP,1928
E 161 Gab,"Gabriel, Ralph Henry, 1890-1987.",The Pageant of Ameria : a Pitorial History of the United States /,,Yale UP,1929
E 161 Gab,"Gabriel, Ralph Henry, 1890-1987.",The ourse of Amerian demorati thought /,,Ronald Press,1956
E 161 Gil,"Gilman, N. P.",Soialism and the Amerian spirit /,,Houghton Mifflin,1893
E 161 Gri,"Griffin, . S.","Their brothers' keepers : moral stewardship in the United States, 1800-1865 /",,Rutgers UP,1960
E 161 Gur,"Gurko, L.",risis of the Amerian mind /,,Rider,1956
E 161 Han,"Handlin, Osar, 1915-",The dimensions of liberty /,,Harvard UP,1961
E 161 Han,"Handlin, Osar, 1915-",This was Ameria /,,Harvard UP,1949
E 161 Jon,"Jones, Howard Mumford.","Ameria and Frenh ulture, 1750-1848 /",,U of arolina P,1927
E 161 Jon,"Jones, Howard Mumford.",O strange new world : Amerian ulture : the formative years /,,Viking,1964
E 161 Jon,"Jones, Howard Mumford.",The pursuit of happiness /,,Harvard UP,1953
E 161 Kal,"Kallen, H. M.",ultural pluralism and the Amerian idea : an essay in soial philosophy /,,U of Pennsylvania P,1956
E 161 Koh,"Kohn, Hans, 1891-1971.",Amerian nationalism : an interpretative essay /,,ollier Books,1961
E 161 MAR,"Marx, Leo, 1919-",The mahine in the garden : tehnology and the pastoral ideal in Ameria /,9780195007381;0195007387,Oxford University Press,1967
E 161 MAR,"Marx, Leo, 1919-",The mahine in the garden : tehnology and the pastoral ideal in Ameria /,9780195133509;0195133501;9780195133516;019513351X,Oxford University Press,2000
E 161 MAT,,Material ulture : a researh guide /,9780700602759;0700602755,UnivPof Kansas,1985
E 161 MIL,"Miller, Perry.",Errand into the wilderness /,0674261550;9780674261556,Belknap Press,1984
E 161 MIL,"Miller, Perry.",The life of the mind in Ameria : from the Revolution to the ivil War /,9780156519908;0156519909,Harourt,1965
E 161 Mer,"Merk, Frederik, 1887-",Manifest destiny and mission in Amerian history : a reinterpretation /,,Knopf,1963
E 161 Mil,"Miller, Perry, 1905-1963.",Nature's nation /,9780674605503;0674605500,Belknap P,1967
E 161 Mos,"Mosier, Rihard David, 1917-",The Amerian temper : patterns of our intelletual heritage /,,U of alifornia P,1952
E 161 Mum,"Mumford, Lewis, 1895-",The golden day : a study in Amerian experiene and ulture /,,Boni,1926
E 161 Nie,"Niebuhr, Reinhold, 1892-1971.",The irony of Amerian history /,,Nisbet,1952
E 161 Par,"Parkes, H. B.",The Amerian experiene : an interpretation of the history and ivilization of the Amerian people /,,Vintage Books,1959
E 161 Pau,"Paulson, R. E.","Radialism and reform : the Vrooman family and Amerian soial thought, 1837-1937 /",,U of Kentuky P,1968
E 161 Per,"Perry, R. B.",Puritanism and demoray /,,Vanguard P,1944
E 161 Pri,"Prie, R.",Johnny Appleseed : man and myth /,,Smith,1967
E 161 San,"Santayana, George, 1863-1952.","Santayana on Ameria : essays, notes and letters on Amerian life, literature and philosophy /",,Harourt,1968
E 161 Sh,"Shlesinger, Arthur M., Jr. 1917-2007. (Arthur Meier),",Paths of Amerian thought /,,hatto,1942
E 161 Shi,"Shields, David S.",ivil tongues and polite letters in British Ameria /,9780807823514;0807823511,U of North arolina P,1997
E 161 Sim,"Simons, A. M.",Soial fores in Amerian history /,,The Book League of Ameria,1929
E 161 Ste,"Stearns, H. E.",Ameria : a re-appraisal /,,Hillman url,1937
E 161 Str,"Strout, .",Intelletual history in Ameria /,,Harper,1968
