Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
FoamTree,thumbs100png/Matela2011.png,2D,Contained,Tightly nested,Shape-based,Polygon,Left-right
Force-Directed Phylogenetic Tree Layout,thumbs100png/Cuadros2007.png,2D,Node-link,,Angle-based,Force-directed,
Force-directed Tree Layout,thumbs100png/Sun2003.png,2D,Node-link,,Balloon,Force-directed,
Formal Logic Representation,thumbs100png/Baron1969.png,2D,Contained,Tightly nested,Linear,,Top-down
Fractal Maps,thumbs100png/CliftonBligh2004.png,2D,Contained,Loosely packed,Shape-based,Circle,
Fractal Tree,thumbs100png/Ong2005.png,2D,Overlap,,Angle-based,,
Fractal Tree Layout,thumbs100png/Koike1993.png,2D,Adjacent,,Angle-based,,
FROTH,thumbs100png/Sun2003a.png,2D,Contained,Tightly nested,Shape-based,Circle,
Garden Layout,thumbs100png/Eades1992_1.png,2D,Node-link,,Angle-based,,
Generalized Pythagoras Trees,thumbs100png/Beck2014.png,2D,Adjacent,Adjoined by a side,Angle-based,,
Generalized Treemap (Pie),thumbs100png/Vliegen2006_2.png,2D,Adjacent,Adjoined by a side,Radial,,
Generalized Treemap (Pyramid),thumbs100png/Vliegen2006_1.png,2D,Contained,Adjoined by a side,Shape-based,Triangle,
Generalized Treemap (Pyramid+Pie),thumbs100png/Vliegen2006_3.png,2D,Contained,Adjoined by a side,Shape-based,,
Geophylogentic Tree Visualization,thumbs100png/Kidd2010.png,3D,Hybrid: Node-link+Contained,,Shape-based,Geo,
Georeferenced Tree Layout,thumbs100png/Parks2009.png,2D,Node-link,,Linear,,Left-right
Gestalt Cartoon Treemap,thumbs100png/Wattenberg2003.png,3D,Node-link,,Linear,,Left-right
Golden Rectangle Treemap,thumbs100png/Lu2017.png,2D,Contained,Tightly nested,Shape-based,Rectangle,Top-down
GosperMap,thumbs100png/Auber2013.png,2D,Contained,Tightly nested,Shape-based,Polygon,
Grid TreeMap,thumbs100png/Schreck2006.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Gyrolayout,thumbs100png/Urribarri2013.png,3D,Node-link,,Shape-based,Sphere,
H-Tree Layout,thumbs100png/Shiloach1976.png,2D,Node-link,,Angle-based,Hyperbolic,
h-v Drawing,thumbs100png/Crescenzi1992.png,2D,Node-link,,Angle-based,H-tree layout,
H3,thumbs100png/Munzner1997.png,3D,Node-link,,Shape-based,h-v layout,
Helix Cone Tree,thumbs100png/Joshi2004.png,3D,Node-link,,Shape-based,Hyperbolic,
Hexagonal Grid Drawing,thumbs100png/Bachmaier2008.png,2D,Node-link,,Angle-based,Helix-Cone,
Hexagonal Grid Embedding,thumbs100png/Gordon1984.png,2D,Node-link,,Angle-based,Hexagonal layout,
Hexagonal Tiling,thumbs100png/Yang2015b.png,2D,Contained,Tightly nested,Shape-based,Polygon,
Hi-Tree,thumbs100png/Marriott2011.png,2D,Node-link,,Linear,,
Hierarchical Sector Chart,thumbs100png/Brinton1939.png,2D,Adjacent,Adjoined by a side,Radial,,Top-down
HierarchyMap,thumbs100png/Aborisade2010.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Hilbert/Moore Treemap,thumbs100png/Tak2013.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
