child,parent,description
E744-S-2012,E,The evolving role of nation-building in US foreign policy : lessons learned
E184-D-2013,E,Passage to America : celebrated European visitors in search of the American adventure 
E841-A-2013,E,These few precious days : the final year of Jack with Jackie 
E159-C-2013,E,Here is where : discovering America's great forgotten history 
E468-W-2013,E,The politics of faith during the Civil War 
E162-L-2013,E,The Society for Useful Knowledge : how Benjamin Franklin and friends brought the Enlightenment to America 
E457-D-2012,E,Abraham Lincoln and white America 
E450-W-2011,E,American to the backbone : the life of James W.C. Pennington
E183-B-2012,E,Becoming enemies : U.S.-Iran relations and the Iran-Iraq War
E169-R-2011,E,Before the Revolution : America's ancient pasts 
E183-B-2006,E,Beyond the Iraq War : the promises
E169-A-2012,E,Blue highways revisited 
E473-H-2012,E,Born to battle : Grant and Forrest : Shiloh
E468-K-2012,E,Civil War sketch book : drawings from the battlefront 
E840-A-2012,E,Across that bridge : life lessons and a vision for change 
E185-J-2011,E,African American civil rights : early activism and the Niagara movement 
E468-G-2011,E,America aflame : how the Civil War created a nation 
E249-S-2012,E,Amid a warring world : American foreign relations
E249-G-2012,E,Among the powers of the earth : the American Revolution and the making of a new world empire 
E907-I-2012,E,Bending history : Barack Obama's foreign policy 
E185-B-2012,E,Black power beyond borders : the global dimensions of the Black power movement 
E183-T-2012,E,The China threat : memories
E176-W-2012,E,Affairs of state : the untold history of presidential love
E176-F-2012,E,Almost president : the men who lost the race but changed the nation 
E183-A-2006,E,American speeches.
E902-B-2012,E,The Bush leadership
E179-B-2012,E,The American national state and the early West 
E184-H-2011,E,Becoming American? : the forging of Arab and Muslim identity in pluralist America 
E840-G-2011,E,Call me Tom : the life of Thomas F. Eagleton 
E185-M-2011,E,After the dream : black and white southerners since 1965 
E172-G-2012,E,The American Antiquarian Society
E446-A-2012,E,American antislavery writings : colonial beginnings to emancipation 
E169-S-2011,E,Back to our future : how the 1980s explain the world we live in now--our culture
E903-R-2012,E,The chameleon president : the curious case of George W. Bush 
E185-P-2011,E,Civil rights advocacy on behalf of the poor 
E907-K-2012,E,The amateur : Barack Obama in the White House 
E169-P-2011,E,American mythologies : semiological sketches 
E203-A-2001,E,The American Revolution : writings from the War of Independence.
E302-F-1997,E,"Works. Selections. 1997+""Autobiography"
E908-S-2011,E,Barack Obama in Hawai'i and Indonesia : the making of a global president 
E185-M-2012,E,Born along the color line : the 1933 Amenia Conference and the rise of a national civil rights movement 
E517-G-2012,E,The Civil War in Missouri : a military history 
E169-A-2011,E,American exceptionalisms : from Winthrop to Winfrey 
E183-R-2012,E,Before the quagmire : American intervention in Laos
E215-V-2012,E,The Boston Tea Party : the foundations of revolution 
E449-D-2012,E,"Prose works. Selections+""Autobiographies : Narrative of the life of Frederick Douglass"
E183-B-2012,E,An awkward embrace : the United States and China in the 21st century 
E185-B-2012,E,The business of Black power : community development
E525-H-2013,E,Civil War dynasty : the Ewing family of Ohio 
E470-H-2012,E,The Civil War in the West : victory and defeat from the Appalachians to the Mississippi 
E377-U-2012,E,John Quincy Adams 
E312-L-2011,E,Inventing George Washington : America's founder
E451-G-2011,E,John Brown still lives! : America's long reckoning with violence
E451-L-2012,E,John Brown's spy : the adventurous life and tragic confession of John E. Cook 
E840-A-2012,E,Life among the cannibals : a political career
E841-L-2012,E,Listening in : the secret White House recordings of John F. Kennedy 
E664-E-2012,E,Giant in the shadows : the life of Robert T. Lincoln 
E908-K-2012,E,I am the change : Barack Obama and the crisis of liberalism 
E840-A-2012,E,It worked for me : in life and leadership 
E184-B-2011,E,Italian immigrant radical culture : the idealism of the sovversivi in the United States
E842-M-2011,E,Jack Kennedy : elusive hero 
E415-S-2011,E,Horace Greeley and the politics of reform in nineteenth-century America 
E332-S-2011,E,The Jefferson-Hemings controversy : report of the Scholars Commission 
E908-M-2012,E,Leading from behind : the reluctant president and the advisors who decide for him 
E175-L-2012,E,Links : my family in American history 
E342-G-2012,E,James Madison and the making of America 
E841-B-2012,E,John F. Kennedy 
E457-S-2012,E,Lincoln and medicine 
E908-G-2012,E,Grading the 44th president : a report card on Barack Obama's first term as a progressive leader 
E355-F-2012,E,Hacks
E457-G-2011,E,Lincoln and the election of 1860 
E743-R-2011,E,Hollywood left and right : how movie stars shaped American politics 
E457-S-2013,E,The hour of peril : the secret plot to murder Lincoln before the Civil War 
E840-A-2011,E,In my time : a personal and political memoir 
E748-L-2011,E,In the garden of beasts : love
E175-A-2011,E,Keeping the faith : ordinary people
E457-D-2012,E,Lincoln and the Constitution 
E457-W-2012,E,Lincoln as hero 
E901-S-2012,E,The network : portrait conversations 
E474-S-2012,E,The long road to Antietam : how the Civil War became a revolution 
E185-A-2012,E,Manchild in the promised land 
E664-G-2011,E,Mr. Speaker! : the life and times of Thomas B. Reed
E342-C-2012,E,The queen of America : Mary Cutts's life of Dolley Madison 
E877-A-2012,E,Reagan and Thatcher : the difficult relationship 
E449-H-2012,E,Negro comrades of the Crown : African Americans and the British Empire fight the U.S. before emancipation 
E184-P-2012,E,Racing to justice : transforming our conceptions of self and other to build an inclusive society 
E840-A-2011,E,No higher honor : a memoir of my years in Washington 
E183-B-2012,E,Obama and China's rise : an insider's account of America's Asia strategy 
E840-C-2011,E,Red Pepper and Gorgeous George : Claude Pepper's epic defeat in the 1950 Democratic primary 
E843-H-2012,E,Mrs. Kennedy and me 
E184-C-2011,E,My stone of hope : from Haitian slave child to abolitionist 
E473-B-2012,E,The Peninsula Campaign and the necessity of emancipation : African Americans and the fight for freedom 
E185-G-2011,E,Radicalism at the crossroads : African American women activists in the Cold War 
E743-S-2011,E,Red conspirator : J. Peters and the American communist underground 
E672-B-2012,E,The man who saved the union : Ulysses Grant in war and peace 
E467-A-1990,E,Memoirs of General W.T. Sherman 
E856-F-2012,E,Nixon's darkest secrets : the inside story of America's most troubled president 
E908-F-2011,E,Obama on the couch : inside the mind of the president 
E908-K-2011,E,Reading Obama : dreams
E865-M-2011,E,The Mayaguez incident : testing America's resolve in the post-Vietnam era 
E621-H-2012,E,Mending broken soldiers : the Union and Confederate programs to supply artificial limbs 
E908-P-2012,E,The Obama hate machine : the lies
E743-S-2012,E,On Dupont Circle : Franklin and Eleanor Roosevelt and the progressives who shaped our world 
E711-M-2011,E,The President and the assassin : McKinley
E450-O-2011,E,The man with the branded hand : the life of Jonathan Walker
E837-T-2011,E,A new world to be won : John Kennedy
E840-U-2011,E,Preparing for victory : Thomas Holcomb and the making of the modern Marine Corps
E846-L-2005,E,Lyndon B. Johnson : the Kennedy assassination and the transfer of power
E302-A-2012,E,America's forgotten founders 
E302-A-2012,E,"Autobiography+""Benjamin Franklin's autobiography : an authoritative text"
E185-B-2012,E,Black politics in a time of transition 
E185-F-2011,E,From Black to Schwarz : cultural crossovers between African America and Germany 
E756-L-2011,E,The good years : from 1900 to the First World War 
E839-H-2011,E,The Thom Hartmann reader 
E354-H-2012,E,The War of 1812 : a forgotten conflict 
E183-A-2011,E,American speeches : political oratory from Patrick Henry to Barack Obama 
E184-J-2011,E,Back to Bizkaia : a Basque-American memoir 
E612-F-2011,E,History of Andersonville Prison 
E185-C-2010,E,Long old road : back to Black metropolis 
E472-P-2011,E,Campaign for Wilson's Creek : the fight for Missouri begins 
E185-K-2011,E,Black talk
E745-F-2011,E,The last days of Patton 
E176-F-2011,E,Tall
E740-A-2000,E,American presidents of the 20th century : a bibliography 
E169-B-2011,E,Suicide of a superpower : will America survive to 2025? 
E332-S-2012,E,Thomas Jefferson and American nationhood 
E360-J-2012,E,The war of 1812 and the rise of the U.S. Navy 
E203-R-2012,E,Reporting the Revolutionary War : before it was history
E279-N-2011,E,Spies in the Continental Capital : espionage across Pennsylvania during the American Revolution 
E467-W-2012,E,Terrible swift sword : the life of General Philip H. Sheridan 
E169-S-2011,E,The Thomas Sowell reader 
E591-M-2012,E,War on the waters : the Union and Confederate Navies
E840-S-2012,E,Richard G. Lugar
E183-L-2011,E,Safe for decolonization : the Eisenhower administration
E531-C-2011,E,Tried men and true
E354-P-2012,E,The U.S. Navy pictorial history of the War of 1812 
E457-S-2012,E,The Union Forever : Lincoln
E176-M-2012,E,Where they stand : the American presidents in the eyes of voters and historians 
E354-H-2011,E,The rockets' red glare : an illustrated history of the War of 1812 
E457-H-,E,"Works. Selections. 1989+""Speeches and writings"
E457-H-1989,E,"Works. Selections. 1989+""Speeches and writings"
E476-L-2012,E,Remembering the Battle of the Crater : war as murder 
E459-F-2012,E,The revolution of 1861 : the American Civil War in the age of nationalist conflict 
E183-P-2012,E,A single roll of the dice : Obama's diplomacy with Iran 
E505-P-2011,E,The story of my campaign : the Civil War memoir of Captain Francis T. Moore
E839-O-2011,E,Vox populi : the O'Shaughnessy files 
E601-C-2011,E,War stories : suffering and sacrifice in the Civil War North 
E169-P-2011,E,Western culture at the American crossroads : the conflict over the nature of science and reason 
E725-P-2011,E,"Rough Riders+""The Rough Riders ; An autobiography "
E185-H-2011,E,Sister citizen : shame
E748-C-2012,E,Strom Thurmond's America 
E757-A-2004,E,"Works. Selections. 2004+""Letters and speeches "
E185-T-2011,E,This light of ours : activist photographers of the civil rights movement 
E660-G-1990,E,"Works. Selections. 1990+""Memoirs and selected letters : personal memoirs of U.S. Grant ; Selected letters 1839-1865 "
E302-A-2012,E,The unfinished life of Benjamin Franklin 
E185-H-2011,E,Reimagining equality : stories of gender
E444-S-2000,E,Slave narratives.
E534-V-2012,E,Virginia at war
E860-W-2012,E,Watergate : the hidden history : Nixon
E840-M-2011,E,The whole damn deal : Robert Strauss and the art of politics 
E895-S-2012,E,A world recast : an American moment in a post-Western order 
E612-D-2012,E,The world's largest prison : the story of Camp Lawton 
E842-V-2011,E,Zaprudered : the Kennedy assassination film in visual culture 
E459-G-2011,E,1861 : the Civil War awakening 
E815-P-2011,E,1948 : Harry Truman's improbable victory and the year that transformed America's role in the world 
E839-B-2012,E,The 1970s : a new global history from civil rights to economic inequality 
E903-F-2012,E,While America sleeps : a wake-up call for the post-9
E470-R-2012,E,With a sword in one hand & Jomini in the other : the problem of military thought in the Civil War north 
E302-J-1984,E,"Works. Selections. 1984+""Writings : Autobiography ; a summary view of the rights of British America ; Notes on the State of Virginia ; Public papers ; Addresses"
E123-B-2012,E,1494 : how a family feud in medieval Spain divided the world in half 
E185-H-2012,E,Conflict : African American women and the new dilemma of race and gender politics 
E792-S-2013,E,Coolidge 
E185-N-2012,E,From Edward Brooke to Barack Obama : African American political success
E183-D-2012,E,A conservative walks into a bar : the politics of political humor 
E206-S-2012,E,Desperate sons : Samuel Adams
E687-M-2011,E,The destiny of the republic : a tale of madness
E449-B-2013,E,Frederick Douglass : reformer and statesman 
E907-S-2012,E,Confront and conceal : Obama's secret wars and surprising use of American power 
E415-C-2012,E,Congress and the crisis of the 1850s 
E269-C-2012,E,Enjoy the same liberty : Black Americans and the revolutionary era 
E173-T-2011,E,Forging a nation : the American history collection at Gilcrease Museum 
E449-T-2011,E,Colonization and its discontents : emancipation
