child,parent,description
JC337-C-2013,JC,Civil society in the age of monitory democracy 
JZ1570-V-2013,JZ,EU effectiveness and unity in multilateral negotiations : more than the sum of its parts? 
JQ3756-K-2013,JQ,Federalism and ethnic conflict in Ethiopia : a comparative regional study 
JV1060-G-2013,JV,The government and administration of Africa
JC251-H-2013,JC,Leo Strauss and the invasion of Iraq : encountering the abyss 
JA71-N-2013,JA,The loss and recovery of truth : selected writings 
JC311-N-2013,JC,Nationalism and war 
JZ6009-N-2013,JZ,New security challenges in Asia 
JV6255-O-2013,JV,Outsiders no more? : models of immigrant political incorporation 
JZ5330-P-2013,JZ,Parliamentary dimensions of regionalization and globalization : the role of inter-parliamentary institutions 
JN5591-D-2013,JN,A political history of national citizenship and identity in Italy
JN8210-P-2013,JN,Politics and society in contemporary Spain : from Zapatero to Rajoy 
JN329-L-2013,JN,Voice and equality : the state of electronic democracy in Britain 
E740-C-2013,E,Wrapped in the flag : a personal history of America's radical right 
E748-P-2013,E,Rose Kennedy : the life and times of a political matriarch 
E743-W-2013,E,American betrayal : the secret assault on our nation's character 
F1029-B-2013,F,Beyond the border : tensions across the forty-ninth parallel in the Great Plains and Prairies 
E169-C-2013,E,The disunity of American culture : science
E839-S-2012,E,Who stole the American dream? 
E840-H-2013,E,Influence from abroad : foreign voices
E457-L-2013,E,Lincoln unbound : how an ambitious young railsplitter saved the American dream-and how we can do it again 
E181-P-2013,E,My life before the World War
