lccparent,lccchild,lcccaption,dcchild,dccaption
GV,GV 191.2-200.66,Outdoor life. Outdoor recreation,796.5,Outdoor life
GV,GV 460-555,Gymnastics. Gymnastic exercises,796.44 - 796.47,Gymnastics
GV,GV 545.5-548,Weight training. Weight lifting. Body building,796.41,Weight lifting
GV,GV 750-770.27,Air sports,797.5,Air sports
GV,GV 770.3- 840,Water sports,797.1 - 797.3,Aquatic sports
GV,GV 840.7-857,Winter sports,796.9,Ice & snow sports
GV,GV 861-1017,Ball games,796.3,Ball games
LCC,H,Social sciences,na,na
H,H 1-99,Social sciences (General),300 - 300.9,"Social sciences, sociology & anthropology"
H,HA,Statistics,310,Collections of general statistics
H,HB,Economic theory. Demography,330 - 330.1,"Systems, schools, theories"
H,HB,Economic theory. Demography,339,Macroeconomics & related topics
H,HC,Economic history and conditions,330.9,Economic situation & conditions
H,HD,Economic history and conditions,331,Labor economics
H,HD,Economic history and conditions,333 - 333.5,Economics of land
H,HD,Economic history and conditions,338,Production
H,HE,Transportation and communications,383 - 388,Communications & transportation
H,HF,Commerce,337,International economics
H,HF,Commerce,381,Internal commerce (Domestic trade)
H,HF,Commerce,382,International commerce (Foreign trade)
H,HF,Commerce,650,Management & public relations
H,HF,Commerce,651,Office services
H,HF,Commerce,657,Accounting
H,HF,Commerce,658,General management
H,HF,Commerce,659.1,Advertising
H,HG,Finance,332,Financial economics
H,HJ,Public finance,336,Public finance
H,HQ,The Family. Marriage. Women,649.1 - 641.7,Child rearing & home care of children
H,HV,Sign language. Gesture--Systems of speech of the deaf,419,Sign languages
H,HX,Socialism. Communism. Anarchism,335,Socialism & related systems
LCC,J,Political science,na,na
J,JA,Political science,320 - 320.09,Political science
LCC,K,Law in general. Comparative and uniform law. Jurisprudence,340 - 340.5,Law
K,KZ,Law of nations,341,International law
LCC,L,Education (General),370,Education
LCC,L,Education (General),370.1,Philosophy & theory
LCC,L,Education (General),370.3,Education--Dictionaries
LCC,L,Education (General),370.5,Education--Periodicals
LCC,L,Education (General),370.7,"Education, research, related topics"
LCC,L,Education (General),370.8,History & description with respect to kinds of persons
