parent,child,caption
GV,GV 1060.5-1098,Track and field athletics
GV,GV 1100-1150.9,Fighting sports. Martial arts
GV,GV 1151-1190,Shooting
GV,GV 1199-1570,Games and amusements
GV,GV 191.2-200.66,Outdoor life. Outdoor recreation
GV,GV 460-555,Gymnastics. Gymnastic exercises
GV,GV 545.5-548,Weight training. Weight lifting. Body building
GV,GV 750-770.27,Air sports
GV,GV 770.3- 840,Water sports
GV,GV 840.7-857,Winter sports
GV,GV 861-1017,Ball games
LCC,H,Social sciences
H,H 1-99,Social sciences (General)
H,HA,Statistics
H,HB,Economic theory. Demography
H,HC,Economic history and conditions
H,HD,Economic history and conditions
H,HE,Transportation and communications
H,HF,Commerce
H,HG,Finance
H,HJ,Public finance
H,HQ,The Family. Marriage. Women
H,HV,Sign language. Gesture--Systems of speech of the deaf
H,HX,Socialism. Communism. Anarchism
LCC,J,Political science
J,JA,Political science
LCC,K,Law in general. Comparative and uniform law. Jurisprudence
K,KZ,Law of nations
LCC,L,Education (General)
L,LA,History of education
L,LB,Theory and practice of education
L,LC,Special aspects of education
L,LD,Individual institutions - United States
L,LE,Individual institutions - America (except United States)
L,LF,Individual institutions - Europe
L,LG,Individual institutions - Asia; Africa; Oceania
L,LH,College and school magazines and newspapers
L,LT,Textbooks
LCC,M,Musical Works
M,ML,Literature on music
M,MT,Musical instruction and study
LCC,N,Visual arts (General)
N,NA,Architecture
N,NB,Sculpture
N,NC,Drawing. Design. Illustration
N,ND,Painting
N,NE,Print media
N,NK,Decorative arts. Applied arts
N,NX,Arts in general
LCC,P,Philology. Linguistics
P,P 1078,Philology. Linguistics
P,P 117-117.5,Sign language. Gesture--General
P,PA,Greek & Latin languages & literatures
P,PB,Modern languages. Celtic languages
PB,PB 1 - 431,Modern languages. Celtic languages--General
P,PC,Romance languages
PC,PC 2001 - 3761,Romance languages
PC,PC 4001+,Romance languages
PC,PC 601 - 1984,Romance languages
P,PD,Germanic languages. Scandinavian languages
P,PE,English language
P,PF,West Germanic languages
P,PG,Slavic; Baltic; Albanian languages & literatures
P,PH,Finno-Ugric; Basque languages & literatures
P,PJ,Oriental languages & literatures
P,PJ,Oriental languages & literatures--Yiddish literature
P,PK,Indo-Iranian language & literature
PK,PK 8001 - 8499,Indo-Iranian language & literature
PK,PK 8501 - 8835,Indo-Iranian language & literature
P,PL,Languages of Eastern Asia; Africa; Oceania
PL,PL 8000 - 8844,Languages of Eastern Asia; Africa; Oceania
P,PM,Hyperborean; Indian; & artificial languages
P,PN,Literature (General)
P,PQ,French; Italian; Spanish; & Portuguese literatures
PQ,PQ 1 - 3999,French; Italian; Spanish; & Portuguese literatures
PQ,PQ 4001 - 5999,French; Italian; Spanish; & Portuguese literatures
PQ,PQ 6001+,French; Italian; Spanish; & Portuguese literatures
P,PR,English literature
P,PS,American literature
P,PT,German literature
P,PZ,Juvenile belles lettres
LCC,Q,Science (General)
Q,QA,Mathematics
QA,QA 75.5 - 76.95,Mathematics
Q,QB,Astronomy
Q,QC,Physics
Q,QD,Chemistry
Q,QE,Geology
QE,QE 701+,Geology--Paleontology
Q,QH,Biology (General)
QH,QHN,Natural history (General)
Q,QK,Botany
Q,QL,Zoology
Q,QM,Human anatomy
Q,QP,Physiology
Q,QR,Microbiology
Q,QS,Human Anatomy
QS,QS 1-132,Anatomy
QS,QS 504-539,Histology
QS,QS 604-681,Embryology
Q,QT,Physiology
QT,QT 104-172,Human Physiology
QT,QT 1-33.1,Physiology (General)
QT,QT 180-275,Physiology & Hygiene
Q,QU,Biochemistry
Q,QV,Pharmacology
QV,QV 11,Pharmacology--History
QV,QV 1-370,Pharmacology (General)
QV,QV 600-667,Toxicology
QV,QV 701-835,Pharmacy and Pharmaceutics
Q,QW,Microbiology and Immunology
Q,QX,Parasitology
Q,QY,Clinical Pathology
QY,QY 11,Clinical Pathology--History
Q,QZ,Pathology
QZ,QZ 11,Pathology--History
LCC,S,Agriculture (General)
S,SB,Plant culture
S,SD,Forestry
S,SF,Animal culture
S,SH,Aquaculture. Fisheries. Angling
S,SK,Hunting sports
LCC,T,Technology (General)
T,TA,Engineering (General). Civil engineering
T,TC,Hydraulic engineering
T,TD,Environmental technology. Sanitary engineering
T,TE,Highway engineering. Roads and pavements
T,TG,Bridge engineering
T,TH,Building construction
T,TJ,Mechanical engineering and machinery
T,TK,Electrical engineering. Electronics. Nuclear engineering
T,TL,Motor vehicles. Aeronautics. Astronautics
T,TN,Mining engineering. Metallurgy
T,TP,Chemical technology
T,TR,Photography
T,TS,Manufactures
T,TT,Handicrafts. Arts and crafts
T,TX,Home economics. Hospitality industry
LCC,U,Military science (General)
U,UA,Armies: Organization; distribution; military situation
U,UB,Military administration
U,UC,Maintenance and transportation
U,UD,Infantry
U,UE,Cavalry. Armor
U,UF,Artillery
U,UG,Military engineering. Air forces
U,UH,Other services
LCC,V,Naval science (General)
V,VA,Navies Organization; distribution; naval situation
V,VB,Naval administration
V,VC,Naval maintenance
V,VD,Naval seamen
V,VE,Marines
V,VF,Naval ordnance
V,VG,Minor services of navies
V,VK,Navigation. Merchant marine
V,VM,Naval architecture. Shipbuilding. Marine engineering
LCC,W,Medical Profession
W,W 100-275,Medical Service Plans
W,W 1-96,Medical Profession--General
W,W 322-323,Other Medical Services
W,W 601-925,Forensic Medicine & Dentistry
W,WA,Public health
WA,WA 11,Public Health--History
WA,WA 1-106,Public Health (General)
WA,WA 250-292,Accident and Injury Prevention
WA,WA 300-395,Health Problems (special pops.)
WA,WA 400-495,Occup. Med.; Health and Hygiene
WA,WA 525-590,Health Admin. and Organization
WA,WA 670-847,Sanitation and Environ. Control
