dcchild,dccaption
917.193,Northwest Territories (1999- )--description & travel
971.93,Northwest Territories (1999- )
917.1952,Baffin Region (Qikiqtaaluk Region)--description & travel
971.952,Baffin Region (Qikiqtaaluk Region)
917.1958,Keewatin Region (Kivallik Region)--description & travel
971.958,Keewatin Region (Kivallik Region)
917.18 -917.181,Newfoundland--description & travel
971.8 -971.81,Newfoundland
917.182,Labrador--description & travel
971.82,Labrador
917.141 -917.14109,Northern region--description & travel
971.41 -971.4104,Northern region
971.95,Nunavut
917.188,Saint Pierre and Miquelon--description & travel
971.88,Saint Pierre and Miquelon
917.2 -917.27,Mexico--description & travel
972 -972.7,Mexico
917.2,Mexico--description & travel
918,Geography of and travel in South America
972,Middle America Mexico
980,General history of South America
918 -918.09,Geography of and travel in South America
980 -980.4,General history of South America
917.28 -917.2809,Central America--description & travel
972.8 -972.805,Central America
305.897415,Mayas--social aspects
917.281 -917.28109,Guatemala--description & travel
972.6,Southern Gulf states of Mexico
972.81,Guatemala
917.282,Belize--description & travel
972.82,Belize
917.282,Belize--description & travel
972.82,Belize
917.281,Guatemala--description & travel
972.81,Guatemala
917.284,El Salvador--description & travel
972.84,El Salvador
917.283,Honduras--description & travel
972.83,Honduras
917.285,Nicaragua--description & travel
972.85,Nicaragua
917.286,Costa Rica--description & travel
972.86,Costa Rica
917.287,Panama--description & travel
972.87,Panama
917.2875,Canal Area--description & travel
972.875,Canal Area
917.29 -917.2909,West Indies (Antilles) and Bermuda--description & travel
972.9 -972.905,West Indies (Antilles) and Bermuda
917.299,Bermuda--description & travel
972.99,Bermuda
917.299,Bermuda--description & travel
972.99,Bermuda
917.296,Bahama Islands--description & travel
972.96,Bahama Islands
917.296,Bahama Islands--description & travel
972.96,Bahama Islands
917.29 -917.295,Greater Antilles--description & travel
972.9 -972.95,Greater Antilles
917.291,Cuba--description & travel
972.91,Cuba
917.292,Jamaica and Cayman Islands--description & travel
972.92,Jamaica and Cayman Islands
917.293 -917.294,Dominican Republic; Haiti--description & travel
972.93 -972.94,Dominican Republic; Haiti
917.294,Haiti--description & travel
972.94,Haiti
917.293,Dominican Republic--description & travel
972.93,Dominican Republic
917.295,Puerto Rico--description & travel
972.95,Puerto Rico
917.29,West Indies (Antilles) and Bermuda--description & travel
972.9,West Indies (Antilles) and Bermuda
917.29,West Indies (Antilles) and Bermuda--description & travel
917.297 -917.298,Lesser Antilles (Caribbees)--description & travel
972.9,West Indies (Antilles) and Bermuda
972.97 -972.98,Lesser Antilles (Caribbees)
917.297 -917.29709,Leeward Islands--description & travel
972.97 -972.97009,Leeward Islands
917.2984 -917.298409,Windward Islands--description & travel
972.984 -972.984009,Windward Islands
917.298 -917.29809,Windward and other southern islands--description & travel
917.2983 -917.298309,Trinidad and Tobago--description & travel
972.98 -972.9805,Windward and other southern islands
972.983 -972.983009,Trinidad and Tobago
917.297 -917.298,Lesser Antilles (Caribbees)--description & travel
972.97 -972.98,Lesser Antilles (Caribbees)
917.29,West Indies (Antilles) and Bermuda--description & travel
972.9,West Indies (Antilles) and Bermuda
917.29,West Indies (Antilles) and Bermuda--description & travel
972.9,West Indies (Antilles) and Bermuda
917.29722,Virgin Islands of the United States--description & travel
972.9722,Virgin Islands of the United States
917.2986,Netherlands islands--description & travel
917.2986,Netherlands islands--description & travel
972.986,Netherlands islands
972.986,Netherlands islands
917.2976,Guadeloupe--description & travel
972.976,Guadeloupe
917.29 -917.2909,West Indies (Antilles) and Bermuda--description & travel
972.9 -972.905,West Indies (Antilles) and Bermuda
918,Geography of and travel in South America
980,General history of South America
918.61,Colombia--description & travel
986.1,Colombia
918.7,Venezuela--description & travel
987,Venezuela
918.8 -918.809,Guiana--description & travel
988 -988.03,Guiana
918.81,Guyana--description & travel
988.1,Guyana
918.81,Guyana--description & travel
988.1,Guyana
918.83,Surinam (Suriname)--description & travel
988.3,Surinam (Suriname)
918.83,Surinam (Suriname)--description & travel
988.3,Surinam (Suriname)
918.82,French Guiana (Guyane)--description & travel
988.2,French Guiana (Guyane)
918.82,French Guiana (Guyane)--description & travel
988.2,French Guiana (Guyane)
918.1,Brazil--description & travel
981,Brazil
981.032,"Period of hereditary captaincies, 1533-1762"
981.032,"Period of hereditary captaincies, 1533-1762"
918.92,Paraguay--description & travel
989.2,Paraguay
918.95,Uruguay--description & travel
989.5,Uruguay
918.2,Argentina--description & travel
982,Argentina
919.711,Falkland Islands (Islas Malvinas)--description & travel
997.11,Falkland Islands (Islas Malvinas)
919.711,Falkland Islands (Islas Malvinas)--description & travel
997.11,Falkland Islands (Islas Malvinas)
918.3,Chile--description & travel
983,Chile
918.4,Bolivia--description & travel
984,Bolivia
918.5,Peru--description & travel
985,Peru
918.66,Ecuador--description & travel
986.6,Ecuador
910 - 912,Geography & travel
526,Mathematical geography
551.4 - 551.45,Geomorphology
551.46 - 551.47,Oceanography
333.7 - 333.709,Natural resources & energy
304 - 304.2,Factors affecting social behavior; Human ecology
302.3 - 302.4,Social interaction
305,Social groups
306.3,Economic institutions
306.8,Marriage & family
599.9,Physical anthropology
398.2 - 398.4,Folk literature
398.8,Rhymes & rhyming games
390 - 394,"Customs, etiquette & folklore"
790,"Sports, games & entertainment"
796,Athletic & outdoor sports & games
796.4,"Weight lifting, track & field, gymnastics"
797,Aquatic & air sports
796.7,Driving motor vehicles
796.6,Cycling & related activities
796.42,Track & field
796.8,Combat sports
799.3,Shooting other than game
793,Indoor games & amusements
794,Indoor games of skill
795,Games of chance
796.5,Outdoor life
796.44 - 796.47,Gymnastics
796.41,Weight lifting
797.5,Air sports
797.1 - 797.3,Aquatic sports
796.9,Ice & snow sports
796.3,Ball games
300 - 300.9,"Social sciences, sociology & anthropology"
310,Collections of general statistics
330 - 330.1,"Systems, schools, theories"
339,Macroeconomics & related topics
330.9,Economic situation & conditions
331,Labor economics
